
U-Chews         1           $0.85          

Cola            0           $0.00          

Little League Chew 2           $1.90          

Moonpie         0           $0.00          

Dr. Salt        0           $0.00          

Chiclets        0           $0.00          

Potato Crisps   5           $15.25         

Cowtales        1           $1.50          

Mountain Melter 0           $0.00          

Triplemint      0           $0.00          

Stackers        0           $0.00          

Wonka Bar       0           $0.00          

Heavy           0           $0.00          

Grain Waves     0           $0.00          

Crunchie        0           $0.00          

Cloud Popcorn   0           $0.00          
$19.50
